unixtime,equiv_cores,pkg_temp_c,max_core_temp_c,freq_p_mhz,freq_e_mhz,freq_lpe_mhz,util_cpu0
1789830793.592,1.182,54.000,70.000,1201.339,400.000,1001.262,0.000
1789830793.694,1.455,54.000,70.000,3138.550,2697.786,400.000,0.000
1789830793.803,13.582,54.000,70.000,4554.144,3301.424,2500.033,0.600
1789830793.907,5.891,54.000,70.000,2582.159,1118.615,1259.768,0.636
1789830794.011,1.083,54.000,70.000,1671.156,400.000,400.000,0.000
1789830794.116,1.174,54.000,70.000,1866.516,400.000,748.910,0.000
1789830794.220,1.091,54.000,70.000,1468.667,400.000,1759.666,0.000
1789830794.324,1.091,54.000,70.000,1440.722,603.853,1102.115,0.000
1789830794.427,1.083,54.000,70.000,1958.850,895.678,400.000,0.000
1789830794.529,1.308,62.000,70.000,2450.696,1289.334,1252.520,0.000
1789830794.632,0.928,62.000,80.000,1113.202,868.495,400.000,0.000
1789830794.734,1.373,62.000,80.000,1422.713,999.393,400.000,0.000
1789830794.838,1.182,62.000,80.000,1679.295,582.379,1191.507,0.000
1789830794.947,4.183,62.000,80.000,4533.713,3301.397,2499.980,0.182
1789830795.051,15.112,62.000,80.000,1106.792,720.845,400.000,0.727
1789830795.155,1.000,62.000,80.000,1252.396,607.262,400.000,0.000
1789830795.259,1.083,62.000,80.000,1409.490,400.000,1236.766,0.000
1789830795.363,1.182,62.000,80.000,1027.995,661.284,400.000,0.000
1789830795.466,1.091,62.000,80.000,1511.463,1735.484,1221.501,0.000
1789830795.570,1.000,87.000,87.000,1531.080,789.901,400.000,0.000
1789830795.675,1.339,87.000,87.000,1632.775,714.271,1267.822,0.000
1789830795.777,1.633,87.000,87.000,1681.815,1530.666,1011.971,0.000
1789830795.879,1.445,87.000,87.000,1831.609,2145.339,959.187,0.000
1789830795.982,2.869,87.000,87.000,2888.202,2370.647,400.000,0.000
1789830796.084,5.713,87.000,87.000,2699.472,2433.474,400.000,0.250
1789830796.187,4.377,87.000,87.000,2350.345,2683.433,400.000,0.100
1789830796.290,4.606,87.000,87.000,2734.158,1910.747,400.000,0.444
1789830796.393,3.928,87.000,87.000,2772.281,1619.112,400.000,0.182
1789830796.497,5.637,87.000,87.000,3673.671,2314.787,1799.240,0.300
1789830796.601,3.468,73.000,76.000,2836.976,1772.464,1954.534,0.000
1789830796.704,2.938,73.000,79.000,3227.048,2046.603,1258.084,0.111
1789830796.807,6.204,73.000,79.000,4393.809,3149.737,2299.990,0.200
